AGENCY,UPLOADED ON,VALUE
Department of State,2/26/2025,32751
Department of State,2/26/2025,32750
Department of State,2/26/2025,32511
Department of State,2/26/2025,32460
Department of State,2/26/2025,32385
Department of State,2/26/2025,32375
Department of State,2/26/2025,32257
Department of State,2/26/2025,32190
Department of State,2/26/2025,32100
Department of State,2/26/2025,32060
Department of State,2/26/2025,32000
Department of State,2/26/2025,32000
Department of State,2/26/2025,32000
Department of State,2/26/2025,32000
Department of State,2/26/2025,32000
Department of State,2/26/2025,31890
Department of State,2/26/2025,31764
Department of State,2/26/2025,31750
Department of State,2/26/2025,31652
Department of State,2/26/2025,31512
Department of State,2/26/2025,31395
Department of State,2/26/2025,31275
Department of State,2/26/2025,31234
Department of State,2/26/2025,31131
Department of State,2/26/2025,31100
Department of State,2/26/2025,31000
Department of State,2/26/2025,30915
Department of State,2/26/2025,30775
Department of State,2/26/2025,30700
Department of State,2/26/2025,30623
Department of State,2/26/2025,30575
Department of State,2/26/2025,30434
Department of State,2/26/2025,30400
Department of State,2/26/2025,30378
Department of State,2/26/2025,30350
Department of State,2/26/2025,30210
Department of State,2/26/2025,30210
Department of State,2/26/2025,30199
Department of State,2/26/2025,30128
Department of State,2/26/2025,30082
Department of State,2/26/2025,16302
Department of State,2/26/2025,30020
Department of State,2/26/2025,30000
Department of State,2/26/2025,30000
Department of State,2/26/2025,30000
Department of State,2/26/2025,30000
Department of State,2/26/2025,30000
Department of State,2/26/2025,14900
Department of State,2/26/2025,776
Department of State,2/26/2025,30000
Department of State,2/26/2025,30000
Department of State,2/26/2025,30000
Department of State,2/26/2025,30000
Department of State,2/26/2025,30000
Department of State,2/26/2025,30000
Department of State,2/26/2025,30000
Department of State,2/26/2025,30000
Department of State,2/26/2025,30000
Department of State,2/26/2025,30000
Department of State,2/26/2025,30000
Department of State,2/26/2025,30000
Department of State,2/26/2025,30000
Department of State,2/26/2025,30000
Department of State,2/26/2025,30000
Department of State,2/26/2025,30000
Department of State,2/26/2025,30000
Department of State,2/26/2025,30000
Department of State,2/26/2025,30000
Department of State,2/26/2025,24994
Department of State,2/26/2025,30000
Department of State,2/26/2025,30000
Department of State,2/26/2025,30000
Department of State,2/26/2025,30000
Department of State,2/26/2025,30000
Department of State,2/26/2025,30000
Department of State,2/26/2025,30000
Department of State,2/26/2025,30000
Department of State,2/26/2025,30000
Department of State,2/26/2025,30000
Department of State,2/26/2025,30000
Department of State,2/26/2025,30000
Department of State,2/26/2025,30000
Department of State,2/26/2025,29993
Department of State,2/26/2025,29980
Department of State,2/26/2025,29955
Department of State,2/26/2025,29950
Department of State,2/26/2025,29910
Department of State,2/26/2025,29895
Department of State,2/26/2025,29875
Department of State,2/26/2025,29800
Department of State,2/26/2025,29788
Department of State,2/26/2025,29721
Department of State,2/26/2025,2072295
Department of State,2/26/2025,29700
Department of State,2/26/2025,29700
Department of State,2/26/2025,29643
Department of State,2/26/2025,29562
Department of State,2/26/2025,29456
Department of State,2/26/2025,29450
Department of State,2/26/2025,29405
Department of State,2/26/2025,29360
Department of State,2/26/2025,29105
Department of State,2/26/2025,29086
Department of State,2/26/2025,28960
Department of State,2/26/2025,28870
Department of State,2/26/2025,35000
Department of State,2/26/2025,28800
Department of State,2/26/2025,28730
Department of State,2/26/2025,28585
Department of State,2/26/2025,28574
Department of State,2/26/2025,28289
Department of State,2/26/2025,28207
Department of State,2/26/2025,28120
Department of State,2/26/2025,28050
Department of State,2/26/2025,28042
Department of State,2/26/2025,537300
Department of State,2/26/2025,28000
Department of State,2/26/2025,28000
Department of State,2/26/2025,27973
Department of State,2/26/2025,27825
Department of State,2/26/2025,27765
Department of State,2/26/2025,27681
Department of State,2/26/2025,27590
Department of State,2/26/2025,27260
Department of State,2/26/2025,27255
Department of State,2/26/2025,27234
Department of State,2/26/2025,27200
Department of State,2/26/2025,27191
Department of State,2/26/2025,27167
Department of State,2/26/2025,27000
Department of State,2/26/2025,27000
Department of State,2/26/2025,27000
Department of State,2/26/2025,151560
Department of State,2/26/2025,26915
Department of State,2/26/2025,26900
Department of State,2/26/2025,26750
Department of State,2/26/2025,34999
Department of State,2/26/2025,26577
Department of State,2/26/2025,34993
Department of State,2/26/2025,26350
Department of State,2/26/2025,26305
Department of State,2/26/2025,26256
Department of State,2/26/2025,26254
Department of State,2/26/2025,26215
Department of State,2/26/2025,26188
Department of State,2/26/2025,26180
Department of State,2/26/2025,34910
Department of State,2/26/2025,33717
Department of State,2/26/2025,26028
Department of State,2/26/2025,26000
Department of State,2/26/2025,26000
Department of State,2/26/2025,26000
Department of State,2/26/2025,26000
Department of State,2/26/2025,33200
Department of State,2/26/2025,25820
Department of State,2/26/2025,25749
Department of State,2/26/2025,25615
Department of State,2/26/2025,25500
Department of State,2/26/2025,25360
Department of State,2/26/2025,25340
Department of State,2/26/2025,25274
Department of State,2/26/2025,25250
Department of State,2/26/2025,25225
Department of State,2/26/2025,15550
Department of State,2/26/2025,25200
Department of State,2/26/2025,25150
Department of State,2/26/2025,25150
Department of State,2/26/2025,25147
Department of State,2/26/2025,25000
Department of State,2/26/2025,10000
Department of State,2/26/2025,26655
Department of State,2/26/2025,26390
Department of State,2/26/2025,26933
Department of State,2/26/2025,25000
Department of State,2/26/2025,25000
Department of State,2/26/2025,25000
Department of State,2/26/2025,25000
Department of State,2/26/2025,25000
Department of State,2/26/2025,25000
Department of State,2/26/2025,25000
Department of State,2/26/2025,25000
Department of State,2/26/2025,25000
Department of State,2/26/2025,25000
Department of State,2/26/2025,26050
Department of State,2/26/2025,25000
Department of State,2/26/2025,25000
Department of State,2/26/2025,25000
Department of State,2/26/2025,25000
Department of State,2/26/2025,25000
Department of State,2/26/2025,25000
Department of State,2/26/2025,26035
Department of State,2/26/2025,26000
Department of State,2/26/2025,91215
Department of State,2/26/2025,50555
Department of State,2/26/2025,25000
Department of State,2/26/2025,25000
Department of State,2/26/2025,25000
Department of State,2/26/2025,25000
Department of State,2/26/2025,25000
Department of State,2/26/2025,25000
Department of State,2/26/2025,25000
Department of State,2/26/2025,25000
Department of State,2/26/2025,25000
Department of State,2/26/2025,25000
Department of State,2/26/2025,25000
Department of State,2/26/2025,25000
Department of State,2/26/2025,25000
Department of State,2/26/2025,25000
Department of State,2/26/2025,25000
Department of State,2/26/2025,25000
Department of State,2/26/2025,25000
Department of State,2/26/2025,25000
Department of State,2/26/2025,25000
Department of State,2/26/2025,25000
Department of State,2/26/2025,25000
Department of State,2/26/2025,25000
Department of State,2/26/2025,25000
Department of State,2/26/2025,24999
Department of State,2/26/2025,24999
Department of State,2/26/2025,24999
Department of State,2/26/2025,24999
Department of State,2/26/2025,25000
Department of State,2/26/2025,24999
Department of State,2/26/2025,24999
Department of State,2/26/2025,24999
Department of State,2/26/2025,25000
Department of State,2/26/2025,24996
Department of State,2/26/2025,25000
Department of State,2/26/2025,24995
Department of State,2/26/2025,24994
Department of State,2/26/2025,24993
Department of State,2/26/2025,24991
Department of State,2/26/2025,24990
Department of State,2/26/2025,24990
Department of State,2/26/2025,25000
Department of State,2/26/2025,24990
Department of State,2/26/2025,24990
Department of State,2/26/2025,24988
Department of State,2/26/2025,24988
Department of State,2/26/2025,24988
Department of State,2/26/2025,24988
Department of State,2/26/2025,24988
Department of State,2/26/2025,24988
Department of State,2/26/2025,24988
Department of State,2/26/2025,24985
Department of State,2/26/2025,24980
Department of State,2/26/2025,24980
Department of State,2/26/2025,24975
Department of State,2/26/2025,24975
Department of State,2/26/2025,24974
Department of State,2/26/2025,24972
Department of State,2/26/2025,24971
Department of State,2/26/2025,24970
Department of State,2/26/2025,24970
Department of State,2/26/2025,24963
Department of State,2/26/2025,24960
Department of State,2/26/2025,24960
Department of State,2/26/2025,24960
Department of State,2/26/2025,24960
Department of State,2/26/2025,24999
Department of State,2/26/2025,24955
Department of State,2/26/2025,24950
Department of State,2/26/2025,24950
Department of State,2/26/2025,24950
Department of State,2/26/2025,24950
Department of State,2/26/2025,24949
Department of State,2/26/2025,24942
Department of State,2/26/2025,24939
Department of State,2/26/2025,24938
Department of State,2/26/2025,24931
Department of State,2/26/2025,24930
Department of State,2/26/2025,24927
Department of State,2/26/2025,24920
Department of State,2/26/2025,24920
Department of State,2/26/2025,24915
Department of State,2/26/2025,24910
Department of State,2/26/2025,24900
Department of State,2/26/2025,24900
Department of State,2/26/2025,24900
Department of State,2/26/2025,24999
Department of State,2/26/2025,24900
Department of State,2/26/2025,24900
Department of State,2/26/2025,24900
Department of State,2/26/2025,24900
Department of State,2/26/2025,24893
Department of State,2/26/2025,24887
Department of State,2/26/2025,24877
Department of State,2/26/2025,24870
Department of State,2/26/2025,24850
Department of State,2/26/2025,24850
Department of State,2/26/2025,24838
Department of State,2/26/2025,24837
Department of State,2/26/2025,24835
Department of State,2/26/2025,24833
Department of State,2/26/2025,24820
Department of State,2/26/2025,24805
Department of State,2/26/2025,24785
Department of State,2/26/2025,24785
Department of State,2/26/2025,24748
Department of State,2/26/2025,24718
Department of State,2/26/2025,24700
Department of State,2/26/2025,24659
Department of State,2/26/2025,24654
Department of State,2/26/2025,24647
Department of State,2/26/2025,24612
Department of State,2/26/2025,24600
Department of State,2/26/2025,24558
Department of State,2/26/2025,24550
Department of State,2/26/2025,24530
Department of State,2/26/2025,24506
Department of State,2/26/2025,24500
Department of State,2/26/2025,24998
Department of State,2/26/2025,24500
Department of State,2/26/2025,24500
Department of State,2/26/2025,24500
Department of State,2/26/2025,24500
Department of State,2/26/2025,24500
Department of State,2/26/2025,24500
Department of State,2/26/2025,24500
Department of State,2/26/2025,24500
Department of State,2/26/2025,24500
Department of State,2/26/2025,24500
Department of State,2/26/2025,24500
Department of State,2/26/2025,24498
Department of State,2/26/2025,24468
Department of State,2/26/2025,24500
Department of State,2/26/2025,24342
Department of State,2/26/2025,24260
Department of State,2/26/2025,24217
Department of State,2/26/2025,24200
Department of State,2/26/2025,24133
Department of State,2/26/2025,24092
Department of State,2/26/2025,24090
Department of State,2/26/2025,24995
Department of State,2/26/2025,24050
Department of State,2/26/2025,24045
Department of State,2/26/2025,24018
Department of State,2/26/2025,24000
Department of State,2/26/2025,24000
Department of State,2/26/2025,24000
Department of State,2/26/2025,24000
Department of State,2/26/2025,24000
Department of State,2/26/2025,24000
Department of State,2/26/2025,24000
Department of State,2/26/2025,24000
Department of State,2/26/2025,24000
Department of State,2/26/2025,24000
Department of State,2/26/2025,24000
Department of State,2/26/2025,24000
Department of State,2/26/2025,24000
Department of State,2/26/2025,24000
Department of State,2/26/2025,24000
Department of State,2/26/2025,24000
Department of State,2/26/2025,24000
Department of State,2/26/2025,24000
Department of State,2/26/2025,24000
Department of State,2/26/2025,24000
Department of State,2/26/2025,24000
Department of State,2/26/2025,24000
Department of State,2/26/2025,24000
Department of State,2/26/2025,24000
Department of State,2/26/2025,24000
Department of State,2/26/2025,24000
Department of State,2/26/2025,24000
Department of State,2/26/2025,24000
Department of State,2/26/2025,24000
Department of State,2/26/2025,24000
Department of State,2/26/2025,24000
Department of State,2/26/2025,24000
Department of State,2/26/2025,24000
Department of State,2/26/2025,24000
Department of State,2/26/2025,24000
Department of State,2/26/2025,23980
Department of State,2/26/2025,23961
Department of State,2/26/2025,23950
Department of State,2/26/2025,23878
Department of State,2/26/2025,23847
Department of State,2/26/2025,23830
Department of State,2/26/2025,23800
Department of State,2/26/2025,23738
Department of State,2/26/2025,23600
Department of State,2/26/2025,23572
Department of State,2/26/2025,23549
Department of State,2/26/2025,23510
Department of State,2/26/2025,24990
Department of State,2/26/2025,23500
Department of State,2/26/2025,23500
Department of State,2/26/2025,23430
Department of State,2/26/2025,23240
Department of State,2/26/2025,23234
Department of State,2/26/2025,24956
Department of State,2/26/2025,23001
Department of State,2/26/2025,23000
Department of State,2/26/2025,23000
Department of State,2/26/2025,23000
Department of State,2/26/2025,23000
Department of State,2/26/2025,23000
Department of State,2/26/2025,23000
Department of State,2/26/2025,24900
Department of State,2/26/2025,22900
Department of State,2/26/2025,22820
Department of State,2/26/2025,22800
Department of State,2/26/2025,22734
Department of State,2/26/2025,22706
Department of State,2/26/2025,22650
Department of State,2/26/2025,22650
Department of State,2/26/2025,22650
Department of State,2/26/2025,22600
Department of State,2/26/2025,22599
Department of State,2/26/2025,22460
Department of State,2/26/2025,22455
Department of State,2/26/2025,22315
Department of State,2/26/2025,24500
Department of State,2/26/2025,22200
Department of State,2/26/2025,22110
Department of State,2/26/2025,22080
Department of State,2/26/2025,22056
Department of State,2/26/2025,22056
Department of State,2/26/2025,22030
Department of State,2/26/2025,22000
Department of State,2/26/2025,22000
Department of State,2/26/2025,22000
Department of State,2/26/2025,22000
Department of State,2/26/2025,22000
Department of State,2/26/2025,22000
Department of State,2/26/2025,22000
Department of State,2/26/2025,22000
Department of State,2/26/2025,22000
Department of State,2/26/2025,22000
Department of State,2/26/2025,22000
Department of State,2/26/2025,22000
Department of State,2/26/2025,21986
Department of State,2/26/2025,21831
Department of State,2/26/2025,21668
Department of State,2/26/2025,21590
Department of State,2/26/2025,21590
Department of State,2/26/2025,21560
Department of State,2/26/2025,21530
Department of State,2/26/2025,21410
Department of State,2/26/2025,21409
Department of State,2/26/2025,24086
Department of State,2/26/2025,21020
Department of State,2/26/2025,21000
Department of State,2/26/2025,21000
Department of State,2/26/2025,21000
Department of State,2/26/2025,21000
Department of State,2/26/2025,21000
Department of State,2/26/2025,16500
Department of State,2/26/2025,21000
Department of State,2/26/2025,20984
Department of State,2/26/2025,20944
Department of State,2/26/2025,20900
Department of State,2/26/2025,20538
Department of State,2/26/2025,20517
Department of State,2/26/2025,20450
Department of State,2/26/2025,20402
Department of State,2/26/2025,20343
Department of State,2/26/2025,22992
Department of State,2/26/2025,20283
Department of State,2/26/2025,20222
Department of State,2/26/2025,20130
Department of State,2/26/2025,20100
Department of State,2/26/2025,20043
Department of State,2/26/2025,20000
Department of State,2/26/2025,20000
Department of State,2/26/2025,20000
Department of State,2/26/2025,20000
Department of State,2/26/2025,20000
Department of State,2/26/2025,20000
Department of State,2/26/2025,20000
Department of State,2/26/2025,20000
Department of State,2/26/2025,20000
Department of State,2/26/2025,20000
Department of State,2/26/2025,20000
Department of State,2/26/2025,20000
Department of State,2/26/2025,20000
Department of State,2/26/2025,20000
Department of State,2/26/2025,20000
Department of State,2/26/2025,20000
Department of State,2/26/2025,20000
Department of State,2/26/2025,20000
Department of State,2/26/2025,20000
Department of State,2/26/2025,20000
Department of State,2/26/2025,20000
Department of State,2/26/2025,20000
Department of State,2/26/2025,20000
Department of State,2/26/2025,20000
Department of State,2/26/2025,20000
Department of State,2/26/2025,20000
Department of State,2/26/2025,20000
Department of State,2/26/2025,20000
Department of State,2/26/2025,20000
Department of State,2/26/2025,20000
Department of State,2/26/2025,20000
Department of State,2/26/2025,20000
Department of State,2/26/2025,20000
Department of State,2/26/2025,20000
Department of State,2/26/2025,20000
Department of State,2/26/2025,20000
Department of State,2/26/2025,20000
Department of State,2/26/2025,46528000
Department of State,2/26/2025,21400
Department of State,2/26/2025,20000
Department of State,2/26/2025,20000
Department of State,2/26/2025,20000
Department of State,2/26/2025,20000
Department of State,2/26/2025,20000
Department of State,2/26/2025,20000
Department of State,2/26/2025,20000
Department of State,2/26/2025,20000
Department of State,2/26/2025,20000
Department of State,2/26/2025,20000
Department of State,2/26/2025,20000
Department of State,2/26/2025,20000
Department of State,2/26/2025,20000
Department of State,2/26/2025,20000
Department of State,2/26/2025,20000
Department of State,2/26/2025,20000
Department of State,2/26/2025,20000
Department of State,2/26/2025,20000
Department of State,2/26/2025,20000
Department of State,2/26/2025,20000
Department of State,2/26/2025,20000
Department of State,2/26/2025,20000
Department of State,2/26/2025,21000
Department of State,2/26/2025,19998
Department of State,2/26/2025,19996
Department of State,2/26/2025,19988
Department of State,2/26/2025,19980
Department of State,2/26/2025,19966
Department of State,2/26/2025,19960
Department of State,2/26/2025,19960
Department of State,2/26/2025,19950
Department of State,2/26/2025,19943
Department of State,2/26/2025,19936
Department of State,2/26/2025,19930
Department of State,2/26/2025,19856
Department of State,2/26/2025,19813
Department of State,2/26/2025,19800
Department of State,2/26/2025,19770
Department of State,2/26/2025,19740
Department of State,2/26/2025,19734
Department of State,2/26/2025,20316
Department of State,2/26/2025,20000
Department of State,2/26/2025,19549
Department of State,2/26/2025,19500
Department of State,2/26/2025,19500
Department of State,2/26/2025,19446
Department of State,2/26/2025,19400
Department of State,2/26/2025,19400
Department of State,2/26/2025,19283
Department of State,2/26/2025,19245
Department of State,2/26/2025,19085
Department of State,2/26/2025,19050
Department of State,2/26/2025,19000
Department of State,2/26/2025,19000
Department of State,2/26/2025,18800
Department of State,2/26/2025,18698
Department of State,2/26/2025,18565
Department of State,2/26/2025,18500
Department of State,2/26/2025,18427
Department of State,2/26/2025,18375
Department of State,2/26/2025,18366
Department of State,2/26/2025,18243
Department of State,2/26/2025,18220
Department of State,2/26/2025,18210
Department of State,2/26/2025,18150
Department of State,2/26/2025,18010
Department of State,2/26/2025,18000
Department of State,2/26/2025,18000
Department of State,2/26/2025,18000
Department of State,2/26/2025,18000
Department of State,2/26/2025,18000
Department of State,2/26/2025,18000
Department of State,2/26/2025,18000
Department of State,2/26/2025,17978
Department of State,2/26/2025,17965
Department of State,2/26/2025,17890
Department of State,2/26/2025,17885
Department of State,2/26/2025,17780
Department of State,2/26/2025,17775
Department of State,2/26/2025,30000
Department of State,2/26/2025,17664
Department of State,2/26/2025,17657
Department of State,2/26/2025,17631
Department of State,2/26/2025,17603
Department of State,2/26/2025,17600
Department of State,2/26/2025,17500
Department of State,2/26/2025,17428
Department of State,2/26/2025,17301
Department of State,2/26/2025,17290
Department of State,2/26/2025,17200
Department of State,2/26/2025,17125
Department of State,2/26/2025,17125
Department of State,2/26/2025,17059
Department of State,2/26/2025,17012
Department of State,2/26/2025,17000
Department of State,2/26/2025,19998
Department of State,2/26/2025,16945
Department of State,2/26/2025,16790
Department of State,2/26/2025,19700
Department of State,2/26/2025,16713
Department of State,2/26/2025,16700
Department of State,2/26/2025,16700
Department of State,2/26/2025,16635
Department of State,2/26/2025,19660
Department of State,2/26/2025,16200
Department of State,2/26/2025,16200
Department of State,2/26/2025,16109
Department of State,2/26/2025,16100
Department of State,2/26/2025,16100
Department of State,2/26/2025,16043
Department of State,2/26/2025,16000
Department of State,2/26/2025,16000
Department of State,2/26/2025,16000
Department of State,2/26/2025,15969
Department of State,2/26/2025,15950
Department of State,2/26/2025,15810
Department of State,2/26/2025,15800
Department of State,2/26/2025,15700
Department of State,2/26/2025,15500
Department of State,2/26/2025,15500
Department of State,2/26/2025,15432
Department of State,2/26/2025,15359
Department of State,2/26/2025,15350
Department of State,2/26/2025,15208
Department of State,2/26/2025,15200
Department of State,2/26/2025,15197
Department of State,2/26/2025,15160
Department of State,2/26/2025,15000
Department of State,2/26/2025,15000
Department of State,2/26/2025,15000
Department of State,2/26/2025,15000
Department of State,2/26/2025,15000
Department of State,2/26/2025,125000
Department of State,2/26/2025,15000
Department of State,2/26/2025,15000
Department of State,2/26/2025,15000
Department of State,2/26/2025,15000
Department of State,2/26/2025,15000
Department of State,2/26/2025,15000
Department of State,2/26/2025,15000
Department of State,2/26/2025,15000
Department of State,2/26/2025,15000
Department of State,2/26/2025,15000
Department of State,2/26/2025,15000
Department of State,2/26/2025,15000
Department of State,2/26/2025,15000
Department of State,2/26/2025,15000
Department of State,2/26/2025,15000
Department of State,2/26/2025,15000
Department of State,2/26/2025,15000
Department of State,2/26/2025,15000
Department of State,2/26/2025,15000
Department of State,2/26/2025,17000
Department of State,2/26/2025,15000
Department of State,2/26/2025,15000
Department of State,2/26/2025,15000
Department of State,2/26/2025,15000
Department of State,2/26/2025,15000
Department of State,2/26/2025,15000
Department of State,2/26/2025,15000
Department of State,2/26/2025,15000
Department of State,2/26/2025,15000
Department of State,2/26/2025,15000
Department of State,2/26/2025,15000
Department of State,2/26/2025,15000
Department of State,2/26/2025,16500
Department of State,2/26/2025,15000
Department of State,2/26/2025,15000
Department of State,2/26/2025,15000
Department of State,2/26/2025,15000
Department of State,2/26/2025,15000
Department of State,2/26/2025,15000
Department of State,2/26/2025,15000
Department of State,2/26/2025,15000
Department of State,2/26/2025,15000
Department of State,2/26/2025,15000
Department of State,2/26/2025,15000
Department of State,2/26/2025,15000
Department of State,2/26/2025,15000
Department of State,2/26/2025,15000
Department of State,2/26/2025,15000
Department of State,2/26/2025,15000
Department of State,2/26/2025,15000
Department of State,2/26/2025,15000
Department of State,2/26/2025,14999
Department of State,2/26/2025,14999
Department of State,2/26/2025,14999
Department of State,2/26/2025,14999
Department of State,2/26/2025,14998
Department of State,2/26/2025,14996
Department of State,2/26/2025,14990
Department of State,2/26/2025,14970
Department of State,2/26/2025,14960
Department of State,2/26/2025,14925
Department of State,2/26/2025,14921
Department of State,2/26/2025,14920
Department of State,2/26/2025,47000
Department of State,2/26/2025,14760
Department of State,2/26/2025,14740
Department of State,2/26/2025,14675
Department of State,2/26/2025,14660
Department of State,2/26/2025,14620
Department of State,2/26/2025,14600
Department of State,2/26/2025,14600
Department of State,2/26/2025,14530
Department of State,2/26/2025,14500
Department of State,2/26/2025,14500
Department of State,2/26/2025,14500
Department of State,2/26/2025,14430
Department of State,2/26/2025,14415
Department of State,2/26/2025,14313
Department of State,2/26/2025,14303
Department of State,2/26/2025,14300
Department of State,2/26/2025,14300
Department of State,2/26/2025,14300
Department of State,2/26/2025,14292
Department of State,2/26/2025,14285
Department of State,2/26/2025,14200
Department of State,2/26/2025,14200
Department of State,2/26/2025,14187
Department of State,2/26/2025,14150
Department of State,2/26/2025,14150
Department of State,2/26/2025,14140
Department of State,2/26/2025,14060
Department of State,2/26/2025,14000
Department of State,2/26/2025,46000
Department of State,2/26/2025,14000
Department of State,2/26/2025,14000
Department of State,2/26/2025,14000
Department of State,2/26/2025,14000
Department of State,2/26/2025,14000
Department of State,2/26/2025,14000
Department of State,2/26/2025,14000
Department of State,2/26/2025,14000
Department of State,2/26/2025,14000
Department of State,2/26/2025,14000
Department of State,2/26/2025,13999
Department of State,2/26/2025,13992
Department of State,2/26/2025,13960
Department of State,2/26/2025,13900
Department of State,2/26/2025,13900
Department of State,2/26/2025,13900
Department of State,2/26/2025,13833
Department of State,2/26/2025,13815
Department of State,2/26/2025,13711
Department of State,2/26/2025,25000
Department of State,2/26/2025,13655
Department of State,2/26/2025,13650
Department of State,2/26/2025,13570
Department of State,2/26/2025,13500
Department of State,2/26/2025,13494
Department of State,2/26/2025,13333
Department of State,2/26/2025,13200
Department of State,2/26/2025,13180
Department of State,2/26/2025,13160
Department of State,2/26/2025,13136
Department of State,2/26/2025,13025
Department of State,2/26/2025,13000
Department of State,2/26/2025,13000
Department of State,2/26/2025,13000
Department of State,2/26/2025,12990
Department of State,2/26/2025,12980
Department of State,2/26/2025,12655
Department of State,2/26/2025,15000
Department of State,2/26/2025,12500
Department of State,2/26/2025,12500
Department of State,2/26/2025,12500
Department of State,2/26/2025,12500
Department of State,2/26/2025,12500
Department of State,2/26/2025,12500
Department of State,2/26/2025,12416
Department of State,2/26/2025,12395
Department of State,2/26/2025,12393
Department of State,2/26/2025,12312
Department of State,2/26/2025,12250
Department of State,2/26/2025,12208
Department of State,2/26/2025,12200
Department of State,2/26/2025,12199
Department of State,2/26/2025,12150
Department of State,2/26/2025,12000
Department of State,2/26/2025,12000
Department of State,2/26/2025,12000
Department of State,2/26/2025,12000
Department of State,2/26/2025,12000
Department of State,2/26/2025,12000
Department of State,2/26/2025,12000
Department of State,2/26/2025,12000
Department of State,2/26/2025,12000
Department of State,2/26/2025,12000
Department of State,2/26/2025,12000
Department of State,2/26/2025,12000
Department of State,2/26/2025,12000
Department of State,2/26/2025,12000
Department of State,2/26/2025,12000
Department of State,2/26/2025,12000
Department of State,2/26/2025,12000
Department of State,2/26/2025,12000
Department of State,2/26/2025,12000
Department of State,2/26/2025,11970
Department of State,2/26/2025,11962
Department of State,2/26/2025,11825
Department of State,2/26/2025,11808
Department of State,2/26/2025,11685
Department of State,2/26/2025,12500
Department of State,2/26/2025,11604
Department of State,2/26/2025,11600
Department of State,2/26/2025,11595
Department of State,2/26/2025,11560
Department of State,2/26/2025,11500
Department of State,2/26/2025,11500
Department of State,2/26/2025,11430
Department of State,2/26/2025,11420
Department of State,2/26/2025,11400
Department of State,2/26/2025,11312
Department of State,2/26/2025,11225
Department of State,2/26/2025,11650
Department of State,2/26/2025,11170
Department of State,2/26/2025,11126
Department of State,2/26/2025,11084
Department of State,2/26/2025,11075
Department of State,2/26/2025,11000
Department of State,2/26/2025,11000
Department of State,2/26/2025,11000
Department of State,2/26/2025,10966
Department of State,2/26/2025,10960
Department of State,2/26/2025,10950
Department of State,2/26/2025,10850
Department of State,2/26/2025,10776
Department of State,2/26/2025,10700
Department of State,2/26/2025,10648
Department of State,2/26/2025,10574
Department of State,2/26/2025,10508
Department of State,2/26/2025,10500
Department of State,2/26/2025,10495
Department of State,2/26/2025,10453
Department of State,2/26/2025,10410
Department of State,2/26/2025,10342
Department of State,2/26/2025,10333
Department of State,2/26/2025,10300
Department of State,2/26/2025,10278
Department of State,2/26/2025,10250
Department of State,2/26/2025,10187
Department of State,2/26/2025,10150
Department of State,2/26/2025,10120
Department of State,2/26/2025,10100
Department of State,2/26/2025,11221
Department of State,2/26/2025,10042
Department of State,2/26/2025,10000
Department of State,2/26/2025,10000
Department of State,2/26/2025,10000
Department of State,2/26/2025,10000
Department of State,2/26/2025,10000
Department of State,2/26/2025,10000
Department of State,2/26/2025,10000
Department of State,2/26/2025,10000
Department of State,2/26/2025,10000
Department of State,2/26/2025,10000
Department of State,2/26/2025,10000
Department of State,2/26/2025,10000
Department of State,2/26/2025,10000
Department of State,2/26/2025,10000
Department of State,2/26/2025,10000
Department of State,2/26/2025,10000
Department of State,2/26/2025,10000
Department of State,2/26/2025,10000
Department of State,2/26/2025,10000
Department of State,2/26/2025,10000
Department of State,2/26/2025,10000
Department of State,2/26/2025,10000
Department of State,2/26/2025,10000
Department of State,2/26/2025,10000
Department of State,2/26/2025,10000
Department of State,2/26/2025,10000
Department of State,2/26/2025,10000
Department of State,2/26/2025,10000
Department of State,2/26/2025,10000
Department of State,2/26/2025,10000
Department of State,2/26/2025,10000
Department of State,2/26/2025,10000
Department of State,2/26/2025,10000
Department of State,2/26/2025,10000
Department of State,2/26/2025,10000
Department of State,2/26/2025,10000
Department of State,2/26/2025,10000
Department of State,2/26/2025,10000
Department of State,2/26/2025,10000
Department of State,2/26/2025,10000
Department of State,2/26/2025,10000
Department of State,2/26/2025,10000
Department of State,2/26/2025,10000
Department of State,2/26/2025,10000
Department of State,2/26/2025,10000
Department of State,2/26/2025,10000
Department of State,2/26/2025,10000
Department of State,2/26/2025,10000
Department of State,2/26/2025,10000
Department of State,2/26/2025,10000
Department of State,2/26/2025,10000
Department of State,2/26/2025,10000
Department of State,2/26/2025,10000
Department of State,2/26/2025,10000
Department of State,2/26/2025,10000
Department of State,2/26/2025,10000
Department of State,2/26/2025,10000
Department of State,2/26/2025,10000
Department of State,2/26/2025,10000
Department of State,2/26/2025,10000
Department of State,2/26/2025,10000
Department of State,2/26/2025,29700
Department of State,2/26/2025,10000
Department of State,2/26/2025,10000
Department of State,2/26/2025,10000
Department of State,2/26/2025,10000
Department of State,2/26/2025,10000
Department of State,2/26/2025,10000
Department of State,2/26/2025,10000
Department of State,2/26/2025,10000
Department of State,2/26/2025,10000
Department of State,2/26/2025,10000
Department of State,2/26/2025,10000
Department of State,2/26/2025,10000
Department of State,2/26/2025,10000
Department of State,2/26/2025,10000
Department of State,2/26/2025,10000
Department of State,2/26/2025,10000
Department of State,2/26/2025,10000
Department of State,2/26/2025,10000
Department of State,2/26/2025,10000
Department of State,2/26/2025,10000
