AGENCY,UPLOADED ON,VALUE
Department of State,2/26/2025,16111638
Department of State,2/26/2025,16045000
Department of State,2/26/2025,15709203
Department of State,2/26/2025,15331694
Department of State,2/26/2025,15204563
Department of State,2/26/2025,15111685
Department of State,2/26/2025,15000000
Department of State,2/26/2025,15000000
Department of State,2/26/2025,14573933
Department of State,2/26/2025,14469134
Department of State,2/26/2025,13799360
Department of State,2/26/2025,13749340
Department of State,2/26/2025,13363942
Department of State,2/26/2025,1958000
Department of State,2/26/2025,13310000
Department of State,2/26/2025,13216370
Department of State,2/26/2025,16739
Department of State,2/26/2025,12866082
Department of State,2/26/2025,12819252
Department of State,2/26/2025,12340000
Department of State,2/26/2025,12218281
Department of State,2/26/2025,11731000
Department of State,2/26/2025,11417683
Department of State,2/26/2025,10005000
Department of State,2/26/2025,10000000
Department of State,2/26/2025,9899333
Department of State,2/26/2025,9816954
Department of State,2/26/2025,9795900
Department of State,2/26/2025,9693005
Department of State,2/26/2025,9500000
Department of State,2/26/2025,9410000
Department of State,2/26/2025,9389378
Department of State,2/26/2025,9277725
Department of State,2/26/2025,8990000
Department of State,2/26/2025,199999
Department of State,2/26/2025,8887911
Department of State,2/26/2025,8814297
Department of State,2/26/2025,8600000
Department of State,2/26/2025,8540733
Department of State,2/26/2025,8520000
Department of State,2/26/2025,8500000
Department of State,2/26/2025,8391000
Department of State,2/26/2025,8139420
Department of State,2/26/2025,8138499
Department of State,2/26/2025,8000000
Department of State,2/26/2025,7990009
Department of State,2/26/2025,7986318
Department of State,2/26/2025,7950000
Department of State,2/26/2025,7582729
Department of State,2/26/2025,7500000
Department of State,2/26/2025,7326835
Department of State,2/26/2025,7293296
Department of State,2/26/2025,7250000
Department of State,2/26/2025,7250000
Department of State,2/26/2025,7166557
Department of State,2/26/2025,7087124
Department of State,2/26/2025,7000000
Department of State,2/26/2025,7000000
Department of State,2/26/2025,6925760
Department of State,2/26/2025,6913580
Department of State,2/26/2025,6905500
Department of State,2/26/2025,6800000
Department of State,2/26/2025,6707723
Department of State,2/26/2025,6625000
Department of State,2/26/2025,6542068
Department of State,2/26/2025,6457794
Department of State,2/26/2025,6341000
Department of State,2/26/2025,6265020
Department of State,2/26/2025,159000
Department of State,2/26/2025,109650
Department of State,2/26/2025,6085000
Department of State,2/26/2025,6065980
Department of State,2/26/2025,28816
Department of State,2/26/2025,23095
Department of State,2/26/2025,6050000
Department of State,2/26/2025,6045060
Department of State,2/26/2025,6041748
Department of State,2/26/2025,6000000
Department of State,2/26/2025,5836318
Department of State,2/26/2025,5800000
Department of State,2/26/2025,5800000
Department of State,2/26/2025,5789800
Department of State,2/26/2025,5565367
Department of State,2/26/2025,5499726
Department of State,2/26/2025,5414893
Department of State,2/26/2025,5400000
Department of State,2/26/2025,5376418
Department of State,2/26/2025,5340035
Department of State,2/26/2025,5149886
Department of State,2/26/2025,5133841
Department of State,2/26/2025,15000
Department of State,2/26/2025,5030562
Department of State,2/26/2025,5005429
Department of State,2/26/2025,7000
Department of State,2/26/2025,5000000
Department of State,2/26/2025,5000000
Department of State,2/26/2025,5000000
Department of State,2/26/2025,5000000
Department of State,2/26/2025,5000000
Department of State,2/26/2025,4996785
Department of State,2/26/2025,4987388
Department of State,2/26/2025,4980000
Department of State,2/26/2025,4979989
Department of State,2/26/2025,4941589
Department of State,2/26/2025,4938271
Department of State,2/26/2025,4937500
Department of State,2/26/2025,4900564
Department of State,2/26/2025,4858569
Department of State,2/26/2025,4852008
Department of State,2/26/2025,4800000
Department of State,2/26/2025,4754102
Department of State,2/26/2025,4724000
Department of State,2/26/2025,4539983
Department of State,2/26/2025,4511431
Department of State,2/26/2025,19301992
Department of State,2/26/2025,4500000
Department of State,2/26/2025,4500000
Department of State,2/26/2025,4438645
Department of State,2/26/2025,4324707
Department of State,2/26/2025,4317060
Department of State,2/26/2025,4265431
Department of State,2/26/2025,4210000
Department of State,2/26/2025,4200000
Department of State,2/26/2025,4200000
Department of State,2/26/2025,4199999
Department of State,2/26/2025,4186480
Department of State,2/26/2025,4158651
Department of State,2/26/2025,4100000
Department of State,2/26/2025,4100000
Department of State,2/26/2025,4041000
Department of State,2/26/2025,4000000
Department of State,2/26/2025,4000000
Department of State,2/26/2025,4000000
Department of State,2/26/2025,4000000
Department of State,2/26/2025,4000000
Department of State,2/26/2025,4000000
Department of State,2/26/2025,4000000
Department of State,2/26/2025,3998275
Department of State,2/26/2025,3994041
Department of State,2/26/2025,3975000
Department of State,2/26/2025,3950616
Department of State,2/26/2025,3948659
Department of State,2/26/2025,3946719
Department of State,2/26/2025,3932537
Department of State,2/26/2025,3918519
Department of State,2/26/2025,13337000
Department of State,2/26/2025,3916000
Department of State,2/26/2025,3900000
Department of State,2/26/2025,3897473
Department of State,2/26/2025,3885437
Department of State,2/26/2025,3792500
Department of State,2/26/2025,13000000
Department of State,2/26/2025,8925000
Department of State,2/26/2025,3750000
Department of State,2/26/2025,3750000
Department of State,2/26/2025,3737641
Department of State,2/26/2025,3727605
Department of State,2/26/2025,3715913
Department of State,2/26/2025,3699375
Department of State,2/26/2025,3645029
Department of State,2/26/2025,3640607
Department of State,2/26/2025,6265020
Department of State,2/26/2025,3600640
Department of State,2/26/2025,3560436
Department of State,2/26/2025,3553539
Department of State,2/26/2025,3530553
Department of State,2/26/2025,3525979
Department of State,2/26/2025,3500000
Department of State,2/26/2025,3500000
Department of State,2/26/2025,3500000
Department of State,2/26/2025,3500000
Department of State,2/26/2025,3500000
Department of State,2/26/2025,3499997
Department of State,2/26/2025,3499487
Department of State,2/26/2025,3457200
Department of State,2/26/2025,3450000
Department of State,2/26/2025,3425000
Department of State,2/26/2025,3417749
Department of State,2/26/2025,3417254
Department of State,2/26/2025,3389000
Department of State,2/26/2025,3375000
Department of State,2/26/2025,3345211
Department of State,2/26/2025,3342839
Department of State,2/26/2025,3300000
Department of State,2/26/2025,3300000
Department of State,2/26/2025,3250000
Department of State,2/26/2025,3185945
Department of State,2/26/2025,3150000
Department of State,2/26/2025,3150000
Department of State,2/26/2025,3049524
Department of State,2/26/2025,3032476
Department of State,2/26/2025,3012344
Department of State,2/26/2025,3010574
Department of State,2/26/2025,6265020
Department of State,2/26/2025,6065980
Department of State,2/26/2025,3000000
Department of State,2/26/2025,3000000
Department of State,2/26/2025,3000000
Department of State,2/26/2025,3000000
Department of State,2/26/2025,6065980
Department of State,2/26/2025,3000000
Department of State,2/26/2025,3000000
Department of State,2/26/2025,3000000
